Commodity_section,Cargo_discharged_2014,Cargo_discharged_percentage_distribution_2014,Cargo_discharged_2023,Cargo_discharged_percentage_distribution_2023,Cargo_discharged_average_annual_rate_of_change_2014_2023,Cargo_loaded_2014,Cargo_loaded_percentage_distribution_2014,Cargo_loaded_2023,Cargo_loaded_percentage_distribution_2023,Cargo_loaded_average_annual_rate_of_change_2014_2023,Cargo_overall_2014,Cargo_overall_percentage_distribution_2014,Cargo_overall_2023,Cargo_overall_percentage_distribution_2023,Cargo_overall_average_annual_rate_of_change_2014_2023
Food; beverages and tobacco,18325,9.9,15429,13.8,-1.9,14596,12.9,11095,17.6,-3,32922,11.1,26525,15.2,-2.4
"Crude materials, inedible, except fuels",70437,38.2,31023,27.8,-8.7,36663,32.3,17024,26.9,-8.2,107100,36,48047,27.5,-8.5
"Mineral fuels, lubricants and related materials; animal and vegetable oils, fats and waxes",23791,12.9,20442,18.3,-1.7,1154,1,900,1.4,-2.7,24945,8.4,21342,12.2,-1.7
Chemicals and related products,20494,11.1,13902,12.4,-4.2,17052,15,11499,18.2,-4.3,37546,12.6,25401,14.5,-4.2
Machinery and transport equipment,9265,5,5718,5.1,-5.2,10437,9.2,5338,8.4,-7.2,19702,6.6,11056,6.3,-6.2
Manufactured goods,41849,22.7,25122,22.5,-5.5,33614,29.6,17303,27.4,-7.1,75464,25.3,42426,24.3,-6.2
Commodities not classified elsewhere,23,§,52,§,9.6,35,§,17,§,-7.8,58,§,69,§,2
Overall,184185,100,111689,100,-5.4,113552,100,63177,100,-6.3,297737,100,174866,100,-5.7
