Direction_of_goods,Port_cargo_movements_2014,As_a_percentage_between_HK_and_all_countries_territories_2014,As_a_percentage_between_HK_and_the_mainland_of_China_2014,Port_cargo_movements_2019,As_a_percentage_between_HK_and_all_countries_territories_2019,As_a_percentage_between_HK_and_the_mainland_of_China_2019,Port_cargo_movements_2020,As_a_percentage_between_HK_and_all_countries_territories_2020,As_a_percentage_between_HK_and_the_mainland_of_China_2020,Port_cargo_movements_2021,As_a_percentage_between_HK_and_all_countries_territories_2021,As_a_percentage_between_HK_and_the_mainland_of_China_2021,Port_cargo_movements_2022,As_a_percentage_between_HK_and_all_countries_territories_2022,As_a_percentage_between_HK_and_the_mainland_of_China_2022,Port_cargo_movements_2023,As_a_percentage_between_HK_and_all_countries_territories_2023,As_a_percentage_between_HK_and_the_mainland_of_China_2023,Average_annual_rate_of_change_2014_2023
Between Hong Kong and all countries/territories,297737,100,-,263315,100,-,249286,100,-,213731,100,-,192104,100,-,174866,100,-,-5.7
Between Hong Kong and the mainland of China,149256,50.1,-,130226,49.5,-,126945,50.9,-,94815,44.4,-,90057,46.9,-,85908,49.1,-,-6
Between Hong Kong and the Pearl River Delta,118580,39.8,79.4,100623,38.2,77.3,100624,40.4,79.3,68459,32,72.2,64857,33.8,72,59571,34.1,69.3,-7.4
