Cargo_handling_location,Cargo_discharged_2014,Cargo_discharged_percentage_distribution_2014,Cargo_discharged_2023,Cargo_discharged_percentage_distribution_2023,Cargo_discharged_average_annual_rate_of_change_2014_2023,Cargo_loaded_2014,Cargo_loaded_percentage_distribution_2014,Cargo_loaded_2023,Cargo_loaded_percentage_distribution_2023,Cargo_loaded_average_annual_rate_of_change_2014_2023,Cargo_overall_2014,Cargo_overall_percentage_distribution_2014,Cargo_overall_2023,Cargo_overall_percentage_distribution_2023,Cargo_overall_average_annual_rate_of_change_2014_2023
Anchorages and buoys,20852,11.3,7493,6.7,-10.7,19099,16.8,6451,10.2,-11.4,39951,13.4,13944,8,-11
Berths and wharves (including public cargo working areas),74681,40.5,49639,44.4,-4.4,16915,14.9,12704,20.1,-3.1,91596,30.8,62343,35.7,-4.2
Container terminals,88653,48.1,54557,48.8,-5.3,77537,68.3,44023,69.7,-6.1,166190,55.8,98580,56.4,-5.6
Overall,184185,100,111689,100,-5.4,113552,100,63177,100,-6.3,297737,100,174866,100,-5.7
