Cargo_type,Cargo_discharged_2014,Cargo_discharged_percentage_distribution_2014,Cargo_discharged_2023,Cargo_discharged_percentage_distribution_2023,Cargo_discharged_average_annual_rate_of_change_2014_2023,Cargo_loaded_2014,Cargo_loaded_percentage_distribution_2014,Cargo_loaded_2023,Cargo_loaded_percentage_distribution_2023,Cargo_loaded_average_annual_rate_of_change_2014_2023,Cargo_overall_2014,Cargo_overall_percentage_distribution_2014,Cargo_overall_2023,Cargo_overall_percentage_distribution_2023,Cargo_overall_average_annual_rate_of_change_2014_2023
Break bulk cargo,11703,6.4,4849,4.3,-9.3,3751,3.3,741,1.2,-16.5,15455,5.2,5590,3.2,-10.7
Containerised cargo,104313,56.6,66980,60,-4.8,96412,84.9,58917,93.3,-5.3,200726,67.4,125898,72,-5.1
Unpacked liquid bulk cargo,15353,8.3,13689,12.3,-1.3,464,0.4,282,0.4,-5.4,15817,5.3,13971,8,-1.4
Unpacked solid bulk cargo,52815,28.7,26172,23.4,-7.5,12924,11.4,3237,5.1,-14.3,65739,22.1,29409,16.8,-8.6
Overall,184185,100,111689,100,-5.4,113552,100,63177,100,-6.3,297737,100,174866,100,-5.7
